neighborhood,beds,baths,sqft,lotsize,year,type,levels,cooling,heating,fireplace,soldprice,elementary,elementary_size,elementary_rating,middle,middle_size,middle_rating,high,high_size,high_rating,pct_built
Red,3,1.0,1497.0,0.38,1960,single-family home,1,No,No,No,1150000,Cheetah Elementary,850,4,Coyote Middle,900,4,Crevasse High,750,1,9.043787153835
Red,3,1.0,1277.0,0.16,1941,single-family home,2,No,No,Yes,1177000,Cougar Elementary,800,5,Wolf Middle,700,2,Crevasse High,750,1,18.322428833792472
Red,2,1.0,1057.0,0.27,1931,single-family home,1,No,No,Yes,1108000,Lynx Elementary,600,3,Coyote Middle,900,4,Alpine High,1250,4,8.98717817909737
Red,6,3.5,4005.0,0.61,1933,townhouse,1,No,No,Yes,897000,Bobcat Elementary,600,1,Wolf Middle,700,2,Crevasse High,750,1,15.072483403332882
Red,3,1.5,1664.0,0.29,1958,condo,1,No,No,Yes,637000,Bobcat Elementary,600,1,Coyote Middle,900,4,Alpine High,1250,4,13.172477122320384
Red,2,1.0,1232.0,0.19,1937,single-family home,1,No,No,Yes,983000,Cougar Elementary,800,5,Coyote Middle,900,4,Alpine High,1250,4,14.885699096225412
Red,3,2.0,2044.0,0.15,1949,condo,2,No,No,No,566000,Bobcat Elementary,600,1,Coyote Middle,900,4,Crevasse High,750,1,31.2825221916131
Red,2,1.0,1206.0,0.15,1981,townhouse,1,Yes,No,Yes,739000,Cheetah Elementary,850,4,Coyote Middle,900,4,Alpine High,1250,4,18.457300275482094
Red,3,2.0,1997.0,0.14,1941,condo,2,No,No,No,559000,Cheetah Elementary,850,4,Coyote Middle,900,4,Alpine High,1250,4,32.74629410993047
Red,4,1.5,1940.0,0.45,1944,townhouse,1,No,No,No,652000,Lynx Elementary,600,3,Wolf Middle,700,2,Crevasse High,750,1,9.896949290888685
Red,3,2.0,1362.0,0.11,1934,condo,2,No,No,Yes,525000,Lynx Elementary,600,3,Wolf Middle,700,2,Crevasse High,750,1,28.424743300776356
Red,1,1.0,673.0,0.13,1971,condo,1,Yes,No,No,426000,Cheetah Elementary,850,4,Coyote Middle,900,4,Crevasse High,750,1,11.884580066398248
Red,1,1.0,635.0,0.2821850449338069,1985,single-family home,1,Yes,No,No,995000,Cougar Elementary,800,5,Coyote Middle,900,4,Crevasse High,750,1,
Red,4,1.0,2657.0,0.34,1958,condo,1,No,No,No,566000,Lynx Elementary,600,3,Wolf Middle,700,2,Alpine High,1250,4,17.940096148652295
Red,3,1.5,2115.0,0.24,1949,single-family home,1,No,No,No,1143000,Cougar Elementary,800,5,Wolf Middle,700,2,Crevasse High,750,1,20.230716253443525
Red,2,1.0,1327.0,0.2,1975,single-family home,1,No,No,Yes,1148000,Cougar Elementary,800,5,Coyote Middle,900,4,Crevasse High,750,1,15.231864095500459
Red,1,1.0,,0.1,1977,single-family home,1,Yes,No,No,1190000,Cheetah Elementary,850,4,Coyote Middle,900,4,Alpine High,1250,4,
Red,3,1.5,1803.0,0.15,1942,single-family home,2,No,No,Yes,1257000,Cheetah Elementary,850,4,Wolf Middle,700,2,Alpine High,1250,4,27.5941230486685
Red,4,1.5,2590.0,0.21,1950,single-family home,2,No,No,Yes,1203000,Lynx Elementary,600,3,Wolf Middle,700,2,Crevasse High,750,1,28.31343740434649
Red,6,5.0,4684.0,0.28,1934,single-family home,2,No,No,Yes,1421000,Bobcat Elementary,600,1,Coyote Middle,900,4,Crevasse High,750,1,38.40351567624295
Red,4,2.0,2546.0,0.21,1939,single-family home,2,No,No,Yes,1057000,Bobcat Elementary,600,1,Coyote Middle,900,4,Crevasse High,750,1,27.832436923346016
Red,3,1.0,1293.0,0.13,1930,single-family home,2,No,No,Yes,1135000,Lynx Elementary,600,3,Coyote Middle,900,4,Crevasse High,750,1,22.833227378681922
Red,1,1.0,775.0,0.1,1984,condo,1,No,No,No,579000,Cheetah Elementary,850,4,Coyote Middle,900,4,Alpine High,1250,4,17.791551882460972
Red,6,4.0,4175.0,0.56,1975,single-family home,1,Yes,No,No,1462000,Cheetah Elementary,850,4,Coyote Middle,900,4,Alpine High,1250,4,17.115144956054046
Red,5,2.5,3074.0,0.37,1955,single-family home,1,No,No,No,1276000,Cheetah Elementary,850,4,Wolf Middle,700,2,Crevasse High,750,1,19.07279180006453
Red,6,3.5,4071.0,0.33,1955,townhouse,2,No,No,No,862000,Bobcat Elementary,600,1,Coyote Middle,900,4,Alpine High,1250,4,28.32039402287336
Red,4,3.0,2547.0,0.15,1963,townhouse,2,No,No,No,704000,Cougar Elementary,800,5,Wolf Middle,700,2,Crevasse High,750,1,38.980716253443525
Red,3,1.0,1539.0,0.1,1966,single-family home,2,No,No,No,1135000,Bobcat Elementary,600,1,Wolf Middle,700,2,Alpine High,1250,4,35.33057851239669
Red,6,5.0,4255.0,0.38,1964,townhouse,2,No,No,Yes,1031000,Bobcat Elementary,600,1,Wolf Middle,700,2,Alpine High,1250,4,25.705620801314584
Red,6,5.0,4538.0,0.74,1953,single-family home,1,No,No,Yes,1487000,Cougar Elementary,800,5,Wolf Middle,700,2,Alpine High,1250,4,14.078127714491352
Red,3,1.0,1403.0,0.18,1972,single-family home,1,No,No,Yes,1136000,Cheetah Elementary,850,4,Wolf Middle,700,2,Crevasse High,750,1,17.893582287521685
Red,6,5.0,3257.0,0.83,1966,single-family home,1,No,No,Yes,1430000,Bobcat Elementary,600,1,Wolf Middle,700,2,Alpine High,1250,4,9.00848573356788
Red,4,2.5,1702.0,0.22,1950,single-family home,1,No,No,Yes,1361000,Cheetah Elementary,850,4,Coyote Middle,900,4,Alpine High,1250,4,17.760247099090073
Red,1,1.0,640.0,0.08,1956,single-family home,1,No,No,No,1109000,Cheetah Elementary,850,4,Wolf Middle,700,2,Alpine High,1250,4,18.365472910927455
Red,3,2.0,1541.0,0.29,1968,single-family home,1,No,No,No,1252000,Bobcat Elementary,600,1,Wolf Middle,700,2,Crevasse High,750,1,12.198790411956557
Red,3,1.0,1863.0,0.24,1951,condo,2,No,No,Yes,495000,Cheetah Elementary,850,4,Wolf Middle,700,2,Crevasse High,750,1,17.820247933884296
Red,4,1.5,2657.0,0.32,1964,town house,1,No,No,No,863000,Cougar Elementary,800,5,Wolf Middle,700,2,Alpine High,1250,4,19.061352157943066
Red,6,3.5,4253.0,1.08,1966,condo,1,No,No,Yes,879000,Bobcat Elementary,600,1,Wolf Middle,700,2,Crevasse High,750,1,9.040319015066489
Red,6,3.0,4760.0,0.91,1957,townhouse,?,No,No,Yes,953000,Lynx Elementary,600,3,Wolf Middle,700,2,Alpine High,1250,4,12.008193826375644
Red,6,3.0,4392.0,0.36,1976,townhouse,2,No,No,Yes,1078000,Cougar Elementary,800,5,Coyote Middle,900,4,Alpine High,1250,4,28.007346189164373
Red,3,1.5,1568.0,0.22,1968,single-family home,1,No,No,Yes,1118000,Lynx Elementary,600,3,Coyote Middle,900,4,Crevasse High,750,1,16.361966775189916
Red,4,3.0,2578.0,0.16,1952,single-family home,2,No,No,Yes,1259000,Bobcat Elementary,600,1,Coyote Middle,900,4,Alpine High,1250,4,36.98921028466483
Red,3,2.0,1505.0,0.27,1962,condo,1,No,No,No,586000,Lynx Elementary,600,3,Wolf Middle,700,2,Alpine High,1250,4,12.796313301363806
Red,3,2.0,1425.0,0.19,1956,condo,1,No,No,No,638000,Cheetah Elementary,850,4,Coyote Middle,900,4,Alpine High,1250,4,17.217630853994493
Red,3,2.0,1973.0,0.23,1978,single-family home,1,Yes,No,No,1176000,Cheetah Elementary,850,4,Wolf Middle,700,2,Crevasse High,750,1,19.692977202858625
Orange,3,2.0,1724.0,0.22,1964,single-family home,1,No,No,No,1080000,Puma Elementary,750,7,Fox Middle,550,6,Glacier High,1050,3,17.989815510476667
Orange,5,3.0,3620.0,0.49,1945,townhouse,1,No,No,Yes,835000,Leopard Elementary,900,5,Fox Middle,550,6,Atlas High,950,2,16.959952024887095
Orange,3,1.0,1695.0,0.1,2011,single-family home,2,Yes,Yes,Yes,1589000,Puma Elementary,750,7,Dhole Middle,700,7,Summit High,800,7,38.91184573002755
Orange,4,1.0,2601.0,0.66,1943,condo,1,No,No,Yes,1026000,Puma Elementary,750,7,Fox Middle,550,6,Summit High,800,7,9.047082394189832
Orange,1,1.0,692.0,0.08,2008,single-family home,1,No,Yes,No,1321000,Leopard Elementary,900,5,Dhole Middle,700,7,Glacier High,1050,3,19.857667584940312
Orange,5,3.5,2973.0,0.68,1986,condo,1,No,No,No,952000,Leopard Elementary,900,5,Dhole Middle,700,7,Atlas High,950,2,10.036865986063846
Orange,3,1.5,1663.0,0.11,1976,single-family home,2,Yes,No,No,1479000,Lion Elementary,700,6,Jackal Middle,850,4,Summit High,800,7,34.70656983053677
Orange,3,1.5,1937.0,0.2,1943,townhouse,2,No,No,No,727000,Lion Elementary,700,6,Fox Middle,550,6,Atlas High,950,2,22.23370064279155
Orange,3,1.0,1675.0,0.14,1993,single-family home,2,No,No,No,1189000,Jaguar Elementary,600,2,Fox Middle,550,6,Atlas High,950,2,27.466220648038824
Orange,3,1.5,1401.0,0.09,2018,condo,2,No,Yes,No,965000,Leopard Elementary,900,5,Jackal Middle,850,4,Summit High,800,7,35.73614937251301
Orange,2,1.0,967.0,0.28,2002,single-family home,1,No,Yes,No,1297000,Jaguar Elementary,600,2,Fox Middle,550,6,Glacier High,1050,3,7.928309064672701
Orange,2,1.0,1294.0,0.25,1973,single-family home,1,No,No,No,1379000,Leopard Elementary,900,5,Fox Middle,550,6,Summit High,800,7,11.882460973370064
Orange,3,1.5,1702.0,0.36,1987,single-family home,1,No,No,No,1149000,Jaguar Elementary,600,2,Fox Middle,550,6,Atlas High,950,2,10.853484338332823
Orange,6,4.0,5013.0,0.61,1963,single-family home,1,No,No,No,1555000,Leopard Elementary,900,5,Jackal Middle,850,4,Summit High,800,7,18.86600731608183
Orange,1,1.0,726.0,0.17,1988,townhouse,1,No,Yes,Yes,760000,Jaguar Elementary,600,2,Dhole Middle,700,7,Atlas High,950,2,9.80392156862745
Orange,3,1.5,1479.0,0.21,1958,condo,1,No,No,No,799000,Puma Elementary,750,7,Jackal Middle,850,4,Summit High,800,7,16.16817525908435
Orange,3,1.0,2028.0,0.15,1958,single-family home,2,No,No,Yes,1454000,Puma Elementary,750,7,Fox Middle,550,6,Summit High,800,7,31.0376492194674
Orange,1,1.0,634.0,0.1,1998,townhouse,1,Yes,No,No,647000,Jaguar Elementary,600,2,Dhole Middle,700,7,Atlas High,950,2,14.55463728191001
Orange,4,1.5,2500.0,0.32,2003,single-family home,2,Yes,Yes,No,1628000,Puma Elementary,750,7,Dhole Middle,700,7,Summit High,800,7,17.935032139577594
Orange,5,4.0,3872.0,0.49,2018,single-family home,2,No,No,No,1743000,Lion Elementary,700,6,Dhole Middle,700,7,Glacier High,1050,3,18.140589569161
Orange,1,1.0,694.0,0.13,1945,single-family home,1,No,No,No,939000,Puma Elementary,750,7,Jackal Middle,850,4,Glacier High,1050,3,12.255421346330436
Orange,5,3.0,3773.0,0.36,1984,townhouse,2,Yes,Yes,No,1133000,Jaguar Elementary,600,2,Dhole Middle,700,7,Summit High,800,7,24.06004489337823
Orange,2,1.0,1146.0,0.14,2009,single-family home,1,Yes,Yes,No,1518000,Lion Elementary,700,6,Fox Middle,550,6,Summit High,800,7,18.7918142463597
Orange,5,2.0,3262.0,0.44,1959,single-family home,1,No,No,Yes,1458000,Lion Elementary,700,6,Jackal Middle,850,4,Atlas High,950,2,17.019367225978797
Orange,4,1.5,2306.0,0.31,1940,townhouse,1,No,No,No,710000,Lion Elementary,700,6,Fox Middle,550,6,Atlas High,950,2,17.076927634112383
Orange,1,1.0,630.0,0.08,2015,single-family home,1,Yes,Yes,No,1176000,Lion Elementary,700,6,Dhole Middle,700,7,Glacier High,1050,3,18.07851239669421
Orange,3,1.5,2029.0,0.42,1975,condo,1,No,No,No,740000,Leopard Elementary,900,5,Fox Middle,550,6,Summit High,800,7,11.09034063579518
Orange,6,4.5,4911.0,0.43,1979,single-family home,2,No,No,No,1642000,Leopard Elementary,900,5,Dhole Middle,700,7,Summit High,800,7,26.218848100454867
Orange,5,3.5,2970.0,0.4,1941,condo,1,No,No,Yes,793000,Jaguar Elementary,600,2,Fox Middle,550,6,Glacier High,1050,3,17.045454545454543
Orange,2,1.0,1045.0,0.22,1972,condo,1,Yes,No,Yes,709000,Jaguar Elementary,600,2,Fox Middle,550,6,Glacier High,1050,3,10.904499540863176
Orange,2,1.0,977.0,0.12,1970,single-family home,1,No,No,No,1119000,Leopard Elementary,900,5,Jackal Middle,850,4,Summit High,800,7,18.69069482705846
Orange,4,1.5,1980.0,0.57,1954,townhouse,1,No,No,No,682000,Lion Elementary,700,6,Fox Middle,550,6,Atlas High,950,2,7.974481658692185
Orange,3,1.5,1760.0,0.22,1987,single-family home,2,Yes,No,No,1496000,Jaguar Elementary,600,2,Dhole Middle,700,7,Summit High,800,7,18.365472910927455
Orange,5,3.5,2813.0,0.32,1966,single-family home,2,No,No,No,1611000,Lion Elementary,700,6,Dhole Middle,700,7,Summit High,800,7,20.18049816345271
Orange,1,1.0,603.0,0.2679646962127332,1979,condo,1,No,No,No,515000,Jaguar Elementary,600,2,Fox Middle,550,6,Atlas High,950,2,
Orange,2,1.0,857.0,0.15,2015,townhouse,1,Yes,No,Yes,881000,Leopard Elementary,900,5,Jackal Middle,850,4,Atlas High,950,2,13.116008570554024
Orange,4,2.5,2863.0,0.6,1949,single-family home,1,No,No,Yes,1322000,Puma Elementary,750,7,Fox Middle,550,6,Summit High,800,7,10.954239363330272
Orange,4,2.0,1769.0,0.41,1989,townhouse,1,Yes,No,Yes,881000,Puma Elementary,750,7,Jackal Middle,850,4,Glacier High,1050,3,9.905037066899595
Orange,6,4.0,3717.0,0.28,1989,townhouse,2,No,No,Yes,1045000,Jaguar Elementary,600,2,Jackal Middle,850,4,Atlas High,950,2,30.475206611570243
Orange,6,4.5,2940.0,0.84,1979,single-family home,1,Yes,No,Yes,1590000,Leopard Elementary,900,5,Fox Middle,550,6,Atlas High,950,2,8.034894398530762
Orange,4,1.0,1741.0,0.31,1960,single-family home,1,No,No,Yes,1282000,Puma Elementary,750,7,Dhole Middle,700,7,Atlas High,950,2,12.89285820077609
Orange,3,1.0,1362.0,0.1,1978,single-family home,2,No,No,Yes,1294000,Leopard Elementary,900,5,Jackal Middle,850,4,Glacier High,1050,3,31.267217630853995
Orange,3,1.5,1789.0,0.24,1980,condo,1,Yes,No,Yes,653000,Leopard Elementary,900,5,Dhole Middle,700,7,Atlas High,950,2,17.112411998775638
Orange,3,2.0,1873.0,0.27,1984,townhouse,1,No,Yes,No,773000,Leopard Elementary,900,5,Dhole Middle,700,7,Glacier High,1050,3,15.92524572322552
Orange,6,4.5,4719.0,0.27,1999,townhouse,2,No,No,No,988000,Lion Elementary,700,6,Fox Middle,550,6,Atlas High,950,2,40.12345679012345
Orange,2,1.0,1040.0,0.18,2009,condo,1,No,Yes,No,768000,Lion Elementary,700,6,Jackal Middle,850,4,Glacier High,1050,3,13.263952657892053
Orange,5,3.5,2865.0,0.66,1992,single-family home,1,Yes,No,No,1552000,Puma Elementary,750,7,Fox Middle,550,6,Atlas High,950,2,9.965356039736205
Orange,1,1.0,634.0,0.08,1976,condo,1,No,No,No,451000,Lion Elementary,700,6,Jackal Middle,850,4,Glacier High,1050,3,18.19329660238751
Orange,1,1.0,668.0,0.15,1944,condo,1,No,No,Yes,641000,Leopard Elementary,900,5,Jackal Middle,850,4,Summit High,800,7,10.22344658708295
Orange,3,1.5,1577.0,0.26,1952,single-family home,1,No,No,No,1280000,Jaguar Elementary,600,2,Jackal Middle,850,4,Summit High,800,7,13.924207106025289
Orange,3,1.5,1352.0,0.34,1987,single-family home,1,No,Yes,Yes,1362000,Jaguar Elementary,600,2,Fox Middle,550,6,Glacier High,1050,3,9.128720358666882
